PartType                                RefDes                        PartDecal                                Pins      Layer                          Orient.                        X                              Y                             SMD       Glued
RSM-0R0-1PCT-125MW-0603                 R29                           R0603                                    2         Top                            0                              1440                           2330                          True      False     
RSM-0R0-1PCT-125MW-0603                 R30                           R0603                                    2         Top                            0                              1440                           2260                          True      False     
RSM-0R0-1PCT-125MW-0603                 R31                           R0603                                    2         Top                            0                              1440                           2390                          True      False     
RSM-255R-1PCT-100MW-0603                R32                           R0603                                    2         Top                            180                            3000                           950                           True      False     
RSM-0R0-1PCT-125MW-0603                 R33                           R0603                                    2         Top                            0                              1440                           2200                          True      False     
RSM-24R9-1PCT-100MW-0603                R34                           R0603                                    2         Top                            0                              880                            810                           True      False     
RSM-24R9-1PCT-100MW-0603                R35                           R0603                                    2         Top                            0                              880                            1050                          True      False     
RSM-49R9-1PCT-100MW-0603                R36                           R0603                                    2         Top                            90                             1160                           960                           True      False     
RSM-49R9-1PCT-100MW-0603                R37                           R0603                                    2         Top                            90                             1160                           720                           True      False     
RSM-15K0-1PCT-100MW-0603                R38                           R0603                                    2         Top                            180                            2960                           330                           True      False     
RSM-110K-1PCT-100MW-0603                R39                           R0603                                    2         Top                            0                              2640                           2210                          True      False     
RSM-332K-1PCT-100MW-0603                R40                           R0603                                    2         Top                            180                            2640                           2280                          True      False     
RSM-10K0-1PCT-100MW-0603                R41                           R0603                                    2         Bottom                         180                            1650                           2500                          True      False     
RSM-1K30-1PCT-100MW-0603                R42                           R0603                                    2         Top                            90                             3070                           2170                          True      False     
RSM-100R-1PCT-100MW-0603                R43                           R0603                                    2         Top                            90                             2990                           2170                          True      False     
RSM-10K0-1PCT-100MW-0603                R44                           R0603                                    2         Bottom                         0                              1960                           980                           True      False     
RSM-10K0-1PCT-100MW-0603                R45                           R0603                                    2         Bottom                         180                            2290                           1030                          True      False     
RSM-1K00-1PCT-100MW-0603                R46                           R0603                                    2         Top                            180                            2960                           470                           True      False     
RSM-10K0-1PCT-100MW-0603                R47                           R0603                                    2         Top                            180                            1890                           180                           True      False     
RSM-10K0-1PCT-100MW-0603                R48                           R0603                                    2         Top                            0                              1890                           110                           True      False     
RSM-100K-1PCT-100MW-0603                R49                           R0603                                    2         Top                            0                              1750                           110                           True      False     
RSM-100K-1PCT-100MW-0603                R50                           R0603                                    2         Top                            90                             2000                           150                           True      False     
RSM-12K1-1PCT-100MW-0603                R51                           R0603                                    2         Bottom                         0                              1280                           410                           True      False     
RSM-12K1-1PCT-100MW-0603                R52                           R0603                                    2         Bottom                         0                              1280                           120                           True      False     
RSM-22K1-1PCT-100MW-0603                R53                           R0603                                    2         Bottom                         0                              3380                           1120                          True      False     
RSM-22K1-1PCT-100MW-0603                R54                           R0603                                    2         Bottom                         0                              3690                           1120                          True      False     
RSM-0R0-1PCT-125MW-0603                 R55                           R0603                                    2         Bottom                         180                            1970                           1110                          True      False     
RSM-100K-1PCT-100MW-0603                R56                           R0603                                    2         Bottom                         90                             900                            250                           True      False     
RSM-100K-1PCT-100MW-0603                R57                           R0603                                    2         Bottom                         270                            970                            250                           True      False     
RSM-1K00-1PCT-100MW-0603                R58                           R0603                                    2         Bottom                         0                              900                            370                           True      False     
RSM-1K00-1PCT-100MW-0603                R59                           R0603                                    2         Bottom                         180                            900                            130                           True      False     
RSM-100K-1PCT-100MW-0603                R60                           R0603                                    2         Bottom                         0                              2860                           1710                          True      False     
RSM-383K-1PCT-100MW-0603                R61                           R0603                                    2         Bottom                         180                            2860                           1630                          True      False     
RSM-10K0-1PCT-100MW-0603                R62                           R0603                                    2         Bottom                         0                              1330                           1610                          True      False     
RSM-10K0-1PCT-100MW-0603                R63                           R0603                                    2         Bottom                         0                              1330                           1550                          True      False     
RSM-100K-1PCT-100MW-0603                R64                           R0603                                    2         Bottom                         90                             1440                           1510                          True      False     
RSM-100K-1PCT-100MW-0603                R65                           R0603                                    2         Bottom                         270                            1500                           1510                          True      False     
RSM-10K0-1PCT-100MW-0603                R66                           R0603                                    2         Bottom                         0                              1690                           1610                          True      False     
RSM-10K0-1PCT-100MW-0603                R67                           R0603                                    2         Bottom                         0                              1690                           1550                          True      False     
RSM-100K-1PCT-100MW-0603                R68                           R0603                                    2         Bottom                         90                             1800                           1510                          True      False     
RSM-100K-1PCT-100MW-0603                R69                           R0603                                    2         Bottom                         270                            1860                           1510                          True      False     
RSM-10K0-1PCT-100MW-0603                R70                           R0603                                    2         Bottom                         270                            1050                           960                           True      False     
RSM-10K0-1PCT-100MW-0603                R71                           R0603                                    2         Bottom                         270                            1110                           960                           True      False     
RSM-100K-1PCT-100MW-0603                R72                           R0603                                    2         Bottom                         0                              1150                           1070                          True      False     
RSM-100K-1PCT-100MW-0603                R73                           R0603                                    2         Bottom                         180                            1150                           1130                          True      False     
RSM-10K0-1PCT-100MW-0603                R74                           R0603                                    2         Bottom                         270                            1050                           620                           True      False     
RSM-10K0-1PCT-100MW-0603                R75                           R0603                                    2         Bottom                         270                            1110                           620                           True      False     
RSM-100K-1PCT-100MW-0603                R76                           R0603                                    2         Bottom                         0                              1150                           730                           True      False     
RSM-100K-1PCT-100MW-0603                R77                           R0603                                    2         Bottom                         180                            1150                           790                           True      False     
RSM-0R0-1PCT-125MW-0603                 R78                           R0603                                    2         Top                            270                            2190                           1980                          True      False     
RSM-0R0-1PCT-125MW-0603                 R79                           R0603                                    2         Top                            270                            2380                           1980                          True      False     
RSM-0R0-1PCT-125MW-0603                 R80                           R0603                                    2         Top                            270                            1470                           1980                          True      False     
RSM-0R0-1PCT-125MW-0603                 R81                           R0603                                    2         Top                            270                            1660                           1980                          True      False     
RSM-0R0-1PCT-125MW-0603                 R82                           R0603                                    2         Top                            270                            1480                           1690                          True      False     
RSM-0R0-1PCT-125MW-0603                 R83                           R0603                                    2         Top                            270                            1650                           1690                          True      False     
RSM-0R0-1PCT-125MW-0603                 R84                           R0603                                    2         Top                            270                            2200                           1690                          True      False     
RSM-0R0-1PCT-125MW-0603                 R85                           R0603                                    2         Top                            270                            2370                           1690                          True      False     
RSM-0R0-1PCT-125MW-0603                 R86                           R0603                                    2         Bottom                         0                              730                            1750                          True      False     
RSM-0R0-1PCT-125MW-0603                 R87                           R0603                                    2         Bottom                         0                              730                            1690                          True      False     
RSM-0R0-1PCT-125MW-0603                 R88                           R0603                                    2         Bottom                         270                            700                            1590                          True      False     
RSM-0R0-1PCT-125MW-0603                 R89                           R0603                                    2         Bottom                         270                            760                            1590                          True      False     
RSM-100K-1PCT-100MW-0603                R90                           R0603                                    2         Bottom                         0                              1380                           1900                          True      False     
RSM-100K-1PCT-100MW-0603                R91                           R0603                                    2         Bottom                         0                              1740                           1900                          True      False     
RSM-100K-1PCT-100MW-0603                R92                           R0603                                    2         Bottom                         270                            760                            1010                          True      False     
RSM-100K-1PCT-100MW-0603                R93                           R0603                                    2         Bottom                         270                            760                            670                           True      False     
RSM-100K-1PCT-100MW-0603                R94                           R0603                                    2         Top                            0                              1550                           1190                          True      False     
RSM-100K-1PCT-100MW-0603                R95                           R0603                                    2         Top                            180                            1550                           1250                          True      False     
RSM-12K1-1PCT-100MW-0603                R96                           R0603                                    2         Top                            270                            2310                           280                           True      False     
RSM-12K1-1PCT-100MW-0603                R97                           R0603                                    2         Top                            270                            2250                           280                           True      False     
ENCODER_PEC09-2320F-S0015               S2                            ENCODER_PEC09-2320F-S0015                5         Bottom                         180                            3700.7874015748                2303.14960629921              False     True      
SOLDER_JUMPER_SPDT                      S5                            SOLDER_JUMPER_SPDT                       3         Bottom                         270                            2260                           920                           True      False     
SOLDER_JUMPER_SPDT                      S6                            SOLDER_JUMPER_SPDT                       3         Bottom                         270                            2050                           920                           True      False     
SPEAKER_SMT_WATERPROOF_2403-260-00107   SPEAKER                       SPEAKER_SMT_WATERPROOF_2403-260-00107    2         Top                            180                            1106                           250                           True      False     
0.1"_1PIN                               SWCLK                         0.1"_1PIN                                1         Top                            0                              2390                           120                           False     False     
0.1"_1PIN                               SWDIO                         0.1"_1PIN                                1         Top                            0                              2590                           120                           False     False     
0.1"_1PIN                               TOUCH1                        0.1"_1PIN                                1         Top                            0                              3830                           1120                          False     False     
0.1"_1PIN                               TOUCH2                        0.1"_1PIN                                1         Top                            0                              3520                           1120                          False     False     
0.1"_1PIN                               TOUCH3                        0.1"_1PIN                                1         Top                            0                              2650                           2500                          False     False     
0.1"_1PIN                               TOUCH4                        0.1"_1PIN                                1         Top                            0                              2750                           2500                          False     False     
0.1"_1PIN                               TOUCH5                        0.1"_1PIN                                1         Top                            0                              2550                           2500                          False     False     
0.1"_1PIN                               TOUCH6                        0.1"_1PIN                                1         Top                            0                              2450                           2500                          False     False     
AD9834                                  U1                            AD9834                                   20        Bottom                         180                            2290                           2250                          True      False     
AD8131                                  U2                            AD8131                                   8         Top                            0                              1000                           960                           True      False     
DPDT_ANALOG_MAX4525                     U3                            DPDT_ANALOG_MAX4525                      10        Top                            0                              1420                           640                           True      False     
GP-1513                                 U4                            GP-1513                                  22        Bottom                         90                             3620                           1800                          True      False     
MIC_PREAMP_SSM2167                      U5                            MIC_PREAMP_SSM2167                       10        Top                            270                            3090                           490                           True      False     
ALT-MICROPHONE_MEMS_SPU0410HR5H-PB      U6                            MICROPHONE_MEMS_SPU0410HR5H-PB           4         Top                            270                            3440                           880                           True      False     
BAT-MANAGE_MCP73871                     U7                            BAT-MANAGE_MCP73871                      21        Top                            0                              2850                           2270                          True      False     
AD9834                                  U8                            AD9834                                   20        Bottom                         180                            1590                           2250                          True      False     
DS90LV028                               U9                            DS90LV028                                8         Bottom                         0                              950                            1730                          True      False     
BUCK_REGULATOR_AP3417C                  U10                           BUCK_REGULATOR_AP3417C                   5         Bottom                         0                              3000                           1670                          True      False     
3V3_LDO_MCP1802                         U11                           SOT-23-5                                 5         Bottom                         0                              3180                           1430                          True      False     
AD8131                                  U12                           AD8131                                   8         Top                            0                              1000                           720                           True      False     
MCP6N11                                 U13                           MCP6N11                                  8         Top                            270                            950                            1780                          True      False     
MCP6N11                                 U14                           MCP6N11                                  8         Top                            270                            950                            1420                          True      False     
74CBTLV3253                             U15                           74CBTLV3253                              16        Bottom                         90                             500                            1470                          True      False     
74CBTLV3253                             U16                           74CBTLV3253                              16        Top                            180                            380                            970                           True      False     
OP_AMP_FAN4174                          U17                           OP_AMP_FAN4174                           5         Top                            0                              1750                           230                           True      False     
SPDT_ANALOG_SWITCH_SN74LVC1G3157        U18                           SPDT_ANALOG_SWITCH_SN74LVC1G3157         6         Top                            180                            3090                           780                           True      False     
CAP_SENSE_AT42QT1010                    U19                           CAP_SENSE_AT42QT1010                     6         Bottom                         90                             3750                           1250                          True      False     
CAP_SENSE_AT42QT1010                    U20                           CAP_SENSE_AT42QT1010                     6         Bottom                         90                             3440                           1250                          True      False     
STM32F429_LQFP100                       U21                           STM32F429_LQFP100                        100       Top                            270                            2140                           960                           True      False     
DIGITAL_POT_MAX5388                     U22                           DIGITAL_POT_MAX5388                      10        Bottom                         180                            950                            1390                          True      False     
AD8302                                  U23                           AD8302                                   14        Top                            0                              1210                           2290                          True      False     
RF_DPDT_MASWSS0129TR                    U24                           RF_DPDT_MASWSS0129TR                     13        Top                            0                              490                            1860                          True      False     
RF_DPDT_MASWSS0129TR                    U25                           RF_DPDT_MASWSS0129TR                     13        Top                            0                              490                            2100                          True      False     
RF_DPDT_MASWSS0129TR                    U26                           RF_DPDT_MASWSS0129TR                     13        Top                            90                             490                            2340                          True      False     
RF_DPDT_MASWSS0129TR                    U27                           RF_DPDT_MASWSS0129TR                     13        Top                            90                             490                            1620                          True      False     
AUDIO_AMP_TPA0253DGQR                   U28                           AUDIO_AMP_TPA0253DGQR                    11        Bottom                         270                            1180                           250                           True      False     
OP_AMP_FAN4174                          U29                           OP_AMP_FAN4174                           5         Bottom                         0                              1390                           1730                          True      False     
OP_AMP_FAN4174                          U30                           OP_AMP_FAN4174                           5         Bottom                         0                              1750                           1730                          True      False     
OP_AMP_FAN4174                          U31                           OP_AMP_FAN4174                           5         Bottom                         270                            930                            1020                          True      False     
OP_AMP_FAN4174                          U32                           OP_AMP_FAN4174                           5         Bottom                         270                            930                            680                           True      False     
MICROUSB_H12192CT-ND                    USB                           MICROUSB_H1292CT-ND                      9         Bottom                         90                             28                             748                           False     True      
0.1"_1PIN                               VDD_TARGET                    0.1"_1PIN                                1         Top                            90                             2290                           120                           False     False     
SMA_BOARD_EDGE                          VNA-OUT                       SMA_BOARD_EDGE                           5         Bottom                         180                            177.165354330709               1437.00787401575              True      True      
CRYSTAL_24MHZ_P79E                      Y1                            CRYSTAL_24MHZ_P79E                       4         Bottom                         135                            2150                           1130                          True      False     
75MHZ_OSC                               Y2                            75HMHZ_OSC                               4         Bottom                         270                            1940                           2460                          True      False     
CRYSTAL_SMT_32.768                      Y5                            CRYSTAL_SMT_32.768                       2         Bottom                         90                             2300                           1220                          True      False     
