PartType                                RefDes                        PartDecal                                Pins      Layer                          Orient.                        X                              Y                             SMD       Glued
CSM-C0G-18P-5P-50V-0603                 C54                           C0603                                    2         Top                            270                            2510                           1990                          True      False     
CSM-C0G-18P-5P-50V-0603                 C55                           C0603                                    2         Top                            270                            2510                           1810                          True      False     
CSM-C0G-18P-5P-50V-0603                 C56                           C0603                                    2         Top                            180                            2470                           1720                          True      False     
CSM-C0G-18P-5P-50V-0603                 C57                           C0603                                    2         Top                            270                            1850                           1990                          True      False     
CSM-X7R-10N-10P-50V-0603                C58                           C0603                                    2         Bottom                         180                            880                            1860                          True      False     
CSM-X7R-100N-10P-25V-0603               C59                           C0603                                    2         Bottom                         180                            880                            1920                          True      False     
CSM-X7R-100N-10P-25V-0603               C60                           C0603                                    2         Bottom                         0                              550                            1650                          True      False     
CSM-X7R-100N-10P-25V-0603               C61                           C0603                                    2         Top                            0                              300                            840                           True      False     
CSM-X5R-47U-20P-6V3-0805                C62                           C0805                                    2         Bottom                         90                             290                            1740                          True      False     
CSM-X7R-100N-10P-25V-0603               C63                           C0603                                    2         Bottom                         90                             350                            1730                          True      False     
CSM-X7R-1N-10P-50V-0603                 C64                           C0603                                    2         Top                            0                              990                            2380                          True      False     
CSM-X7R-1N-10P-50V-0603                 C65                           C0603                                    2         Top                            0                              990                            2200                          True      False     
CSM-X7R-1N-10P-50V-0603                 C66                           C0603                                    2         Top                            0                              990                            2260                          True      False     
CSM-X7R-1N-10P-50V-0603                 C67                           C0603                                    2         Top                            0                              990                            2320                          True      False     
CSM-C0G-100P-5P-50V-0603                C68                           C0603                                    2         Top                            180                            1290                           2160                          True      False     
CSM-C0G-18P-5P-50V-0603                 C69                           C0603                                    2         Top                            0                              1830                           1900                          True      False     
CSM-C0G-18P-5P-50V-0603                 C70                           C0603                                    2         Top                            90                             1850                           1810                          True      False     
CSM-C0G-18P-5P-50V-0603                 C71                           C0603                                    2         Top                            0                              1750                           1660                          True      False     
CSM-C0G-18P-5P-50V-0603                 C72                           C0603                                    2         Top                            270                            1790                           1990                          True      False     
CSM-C0G-18P-5P-50V-0603                 C73                           C0603                                    2         Top                            270                            1790                           1810                          True      False     
CSM-C0G-18P-5P-50V-0603                 C74                           C0603                                    2         Top                            180                            1750                           1720                          True      False     
CSM-C0G-18P-5P-50V-0603                 C75                           C0603                                    2         Top                            270                            1280                           1990                          True      False     
CSM-C0G-18P-5P-50V-0603                 C76                           C0603                                    2         Top                            180                            1300                           1900                          True      False     
CSM-C0G-18P-5P-50V-0603                 C77                           C0603                                    2         Top                            90                             1280                           1810                          True      False     
CSM-C0G-18P-5P-50V-0603                 C78                           C0603                                    2         Top                            180                            1380                           1660                          True      False     
CSM-C0G-18P-5P-50V-0603                 C79                           C0603                                    2         Top                            270                            1340                           1990                          True      False     
CSM-C0G-18P-5P-50V-0603                 C80                           C0603                                    2         Top                            270                            1340                           1810                          True      False     
CSM-C0G-18P-5P-50V-0603                 C81                           C0603                                    2         Top                            0                              1380                           1720                          True      False     
CSM-X7R-100N-10P-25V-0603               C82                           C0603                                    2         Top                            0                              1020                           1970                          True      False     
CSM-X7R-100N-10P-25V-0603               C83                           C0603                                    2         Top                            0                              1020                           1910                          True      False     
CSM-X5R-10U0-20P-6V3-0603               C84                           C0603                                    2         Top                            90                             790                            720                           True      False     
CSM-X5R-10U0-20P-6V3-0603               C85                           C0603                                    2         Top                            90                             790                            960                           True      False     
CSM-X5R-10U0-20P-6V3-0603               C86                           C0603                                    2         Top                            0                              640                            880                           True      False     
CSM-X5R-10U0-20P-6V3-0603               C87                           C0603                                    2         Top                            0                              640                            940                           True      False     
CSM-X5R-10U0-20P-6V3-0603               C88                           C0603                                    2         Top                            0                              640                            820                           True      False     
CSM-X5R-10U0-20P-6V3-0603               C89                           C0603                                    2         Top                            0                              640                            1000                          True      False     
CSM-X5R-10U0-10P-10V-0805               C90                           GENERIC_CAP_0805                         2         Bottom                         180                            3190                           1200                          True      False     
CSM-X5R-10U0-10P-10V-0805               C91                           GENERIC_CAP_0805                         2         Bottom                         180                            3190                           1130                          True      False     
CSM-X5R-10U0-10P-25V-0805               C92                           GENERIC_CAP_0805                         2         Top                            180                            2890                           2450                          True      False     
CSM-X5R-4U7-10P-16V-0805                C93                           C0805                                    2         Top                            90                             3010                           2330                          True      False     
CSM-X5R-4U7-10P-16V-0805                C94                           C0805                                    2         Top                            180                            2640                           2350                          True      False     
CSM-X5R-10U0-10P-25V-0805               C95                           GENERIC_CAP_0805                         2         Top                            90                             3180                           450                           True      False     
CSM-X5R-10U0-10P-25V-0805               C96                           GENERIC_CAP_0805                         2         Top                            0                              3150                           330                           True      False     
CSM-X5R-10U0-10P-25V-0805               C97                           GENERIC_CAP_0805                         2         Top                            180                            2960                           400                           True      False     
CSM-X5R-10U0-10P-25V-0805               C98                           GENERIC_CAP_0805                         2         Top                            180                            3090                           640                           True      False     
CSM-X7R-100N-10P-25V-0603               C99                           C0603                                    2         Top                            270                            2990                           600                           True      False     
CSM-X7R-1N-10P-50V-0603                 C100                          C0603                                    2         Top                            180                            1970                           250                           True      False     
CSM-X7R-1N-10P-50V-0603                 C101                          C0603                                    2         Top                            90                             1860                           280                           True      False     
CSM-X7R-10N-10P-50V-0603                C102                          C0603                                    2         Top                            270                            1650                           230                           True      False     
CSM-X7R-1U0-10P-10V-0603                C103                          C0603                                    2         Top                            270                            1590                           230                           True      False     
CSM-X7R-100N-10P-25V-0603               C104                          C0603                                    2         Top                            180                            1750                           340                           True      False     
CSM-X5R-4U7-10P-6V3-0603                C105                          C0603                                    2         Top                            270                            2370                           280                           True      False     
CSM-X7R-100N-10P-25V-0603               C106                          C0603                                    2         Top                            180                            3440                           750                           True      False     
CSM-X5R-22U-20P-10V-1210                C107                          C1210                                    2         Bottom                         0                              1070                           390                           True      False     
CSM-X5R-1U0-10P-25V-0603                C108                          C0603                                    2         Bottom                         90                             1380                           290                           True      False     
CSM-X5R-22U-20P-10V-1210                C109                          C1210                                    2         Bottom                         0                              1070                           110                           True      False     
CSM-X5R-4U7-10P-6V3-0603                C110                          C0603                                    2         Bottom                         0                              1410                           410                           True      False     
CSM-C0G-100P-5P-50V-0603                C111                          C0603                                    2         Top                            0                              1290                           2410                          True      False     
CSM-C0G-10P-5P-50V-0603                 C112                          C0603                                    2         Top                            180                            460                            1740                          True      False     
CSM-C0G-10P-5P-50V-0603                 C113                          C0603                                    2         Top                            90                             680                            1950                          True      False     
CSM-C0G-10P-5P-50V-0603                 C114                          C0603                                    2         Top                            0                              470                            1980                          True      False     
CSM-C0G-3N3-5P-50V-0603                 C115                          C0603                                    2         Bottom                         90                             3340                           1250                          True      False     
CSM-C0G-3N3-5P-50V-0603                 C116                          C0603                                    2         Bottom                         90                             3650                           1250                          True      False     
CSM-X7R-100N-10P-25V-0603               C117                          C0603                                    2         Bottom                         270                            2450                           1180                          True      False     
CSM-X5R-4U7-10P-10V-0603                C118                          C0603                                    2         Bottom                         270                            2510                           1180                          True      False     
CSM-X5R-2U2-10P-6V3-0603                C119                          C0603                                    2         Bottom                         0                              2230                           720                           True      False     
CSM-X7R-100N-10P-25V-0603               C120                          C0603                                    2         Bottom                         0                              2370                           650                           True      False     
CSM-C0G-10P-5P-50V-0603                 C121                          C0603                                    2         Bottom                         45                             2090                           1080                          True      False     
CSM-C0G-10P-5P-50V-0603                 C122                          C0603                                    2         Bottom                         135                            2210                           1090                          True      False     
CSM-C0G-10P-5P-50V-0603                 C123                          C0603                                    2         Bottom                         0                              2340                           1120                          True      False     
CSM-C0G-10P-5P-50V-0603                 C124                          C0603                                    2         Bottom                         0                              2340                           1320                          True      False     
CSM-X5R-2U2-10P-6V3-0603                C125                          C0603                                    2         Bottom                         0                              1800                           790                           True      False     
CSM-X7R-100N-10P-25V-0603               C126                          C0603                                    2         Bottom                         0                              1800                           730                           True      False     
CSM-X7R-100N-10P-25V-0603               C127                          C0603                                    2         Bottom                         90                             1840                           1170                          True      False     
CSM-X7R-100N-10P-25V-0603               C128                          C0603                                    2         Bottom                         180                            2190                           1370                          True      False     
CSM-X7R-100N-10P-25V-0603               C129                          C0603                                    2         Bottom                         90                             2090                           1290                          True      False     
CSM-X7R-100N-10P-25V-0603               C130                          C0603                                    2         Top                            0                              2720                           210                           True      False     
CSM-X7R-100N-10P-25V-0603               C131                          C0603                                    2         Bottom                         180                            1990                           1260                          True      False     
CSM-X5R-1U0-10P-25V-0603                C132                          C0603                                    2         Bottom                         180                            1990                           1320                          True      False     
CSM-C0G-10P-5P-50V-0603                 C133                          C0603                                    2         Top                            90                             610                            1950                          True      False     
CSM-C0G-10P-5P-50V-0603                 C134                          C0603                                    2         Bottom                         0                              450                            2040                          True      False     
CSM-C0G-10P-5P-50V-0603                 C135                          C0603                                    2         Bottom                         0                              450                            2150                          True      False     
CSM-C0G-10P-5P-50V-0603                 C136                          C0603                                    2         Top                            180                            470                            2220                          True      False     
CSM-C0G-10P-5P-50V-0603                 C137                          C0603                                    2         Top                            90                             610                            2380                          True      False     
CSM-C0G-10P-5P-50V-0603                 C138                          C0603                                    2         Top                            180                            330                            2370                          True      False     
CSM-C0G-10P-5P-50V-0603                 C139                          C0603                                    2         Top                            90                             370                            2280                          True      False     
CSM-C0G-10P-5P-50V-0603                 C140                          C0603                                    2         Top                            90                             360                            1400                          True      False     
CSM-C0G-10P-5P-50V-0603                 C141                          C0603                                    2         Top                            0                              580                            1740                          True      False     
CSM-C0G-10P-5P-50V-0603                 C142                          C0603                                    2         Top                            270                            360                            1540                          True      False     
CSM-X7R-1U0-10P-10V-0603                C143                          C0603                                    2         Bottom                         180                            1230                           350                           True      False     
CSM-X5R-4U7-10P-6V3-0603                C144                          C0603                                    2         Bottom                         0                              1410                           120                           True      False     
CSM-X5R-10U0-10P-25V-0805               C145                          GENERIC_CAP_0805                         2         Bottom                         270                            1450                           290                           True      False     
CSM-X5R-4U7-10P-6V3-0603                C146                          C0603                                    2         Bottom                         0                              1410                           190                           True      False     
CSM-X7R-100N-10P-25V-0603               C147                          C0603                                    2         Top                            90                             3170                           780                           True      False     
CSM-X5R-10U0-10P-10V-0805               C148                          GENERIC_CAP_0805                         2         Bottom                         270                            2930                           1180                          True      False     
CSM-X5R-10U0-10P-10V-0805               C149                          GENERIC_CAP_0805                         2         Bottom                         270                            2870                           1180                          True      False     
CSM-X7R-100N-10P-25V-0603               C150                          C0603                                    2         Top                            180                            1420                           720                           True      False     
CSM-X7R-1N-10P-50V-0603                 C151                          C0603                                    2         Bottom                         0                              1460                           1610                          True      False     
CSM-X7R-1N-10P-50V-0603                 C152                          C0603                                    2         Bottom                         90                             1300                           1710                          True      False     
CSM-X7R-10N-10P-50V-0603                C153                          C0603                                    2         Bottom                         270                            1490                           1720                          True      False     
CSM-X7R-1U0-10P-10V-0603                C154                          C0603                                    2         Bottom                         90                             1480                           1850                          True      False     
CSM-X7R-100N-10P-25V-0603               C155                          C0603                                    2         Bottom                         180                            1380                           1840                          True      False     
CSM-X7R-100N-10P-25V-0603               C156                          C0603                                    2         Bottom                         180                            1330                           1490                          True      False     
CSM-X7R-1N-10P-50V-0603                 C157                          C0603                                    2         Bottom                         0                              1820                           1610                          True      False     
CSM-X7R-1N-10P-50V-0603                 C158                          C0603                                    2         Bottom                         90                             1660                           1710                          True      False     
CSM-X7R-10N-10P-50V-0603                C159                          C0603                                    2         Bottom                         270                            1850                           1720                          True      False     
CSM-X7R-1U0-10P-10V-0603                C160                          C0603                                    2         Bottom                         90                             1840                           1850                          True      False     
CSM-X7R-100N-10P-25V-0603               C161                          C0603                                    2         Bottom                         180                            1740                           1840                          True      False     
CSM-X7R-100N-10P-25V-0603               C162                          C0603                                    2         Bottom                         180                            1690                           1490                          True      False     
CSM-X7R-1N-10P-50V-0603                 C163                          C0603                                    2         Bottom                         270                            1050                           1090                          True      False     
CSM-X7R-1N-10P-50V-0603                 C164                          C0603                                    2         Bottom                         0                              950                            930                           True      False     
CSM-X7R-10N-10P-50V-0603                C165                          C0603                                    2         Bottom                         180                            940                            1120                          True      False     
CSM-X7R-1U0-10P-10V-0603                C166                          C0603                                    2         Bottom                         0                              810                            1110                          True      False     
CSM-X7R-100N-10P-25V-0603               C167                          C0603                                    2         Bottom                         90                             820                            1010                          True      False     
CSM-X7R-100N-10P-25V-0603               C168                          C0603                                    2         Bottom                         90                             1170                           960                           True      False     
CSM-X7R-1N-10P-50V-0603                 C169                          C0603                                    2         Bottom                         270                            1050                           750                           True      False     
CSM-X7R-1N-10P-50V-0603                 C170                          C0603                                    2         Bottom                         0                              950                            590                           True      False     
CSM-X7R-10N-10P-50V-0603                C171                          C0603                                    2         Bottom                         180                            940                            780                           True      False     
CSM-X7R-1U0-10P-10V-0603                C172                          C0603                                    2         Bottom                         0                              810                            770                           True      False     
CSM-X7R-100N-10P-25V-0603               C173                          C0603                                    2         Bottom                         90                             820                            670                           True      False     
CSM-X7R-100N-10P-25V-0603               C174                          C0603                                    2         Bottom                         90                             1170                           620                           True      False     
LED-WHITE-0603                          D3                            LED0603                                  2         Top                            180                            3150                           950                           True      False     
PAD_1MM                                 DDS1_COMP_IN                  PAD_1MM                                  1         Bottom                         180                            2490                           2160                          True      False     
PAD_1MM                                 DDS1_SIN_OUT                  PAD_1MM                                  1         Bottom                         180                            2490                           2220                          True      False     
PAD_1MM                                 DDS2_COMP_IN                  PAD_1MM                                  1         Bottom                         180                            1790                           2160                          True      False     
PAD_1MM                                 DDS2_SIN_OUT                  PAD_1MM                                  1         Bottom                         180                            1790                           2220                          True      False     
3.5MM_PHONO_4P_3SW_SJ-42617-SMT         EARPHONE                      3.5MM_PHONO_4P_3SW_SJ-42617-SMT          7         Bottom                         180                            0                              275.590551181102              True      True      
0.1"_1PIN                               GND                           0.1"_1PIN                                1         Top                            90                             2490                           120                           False     False     
0.1"_1PIN                               GND1                          0.1"_1PIN                                1         Top                            0                              1050                           2070                          False     False     
0.1"_1PIN                               GND2                          0.1"_1PIN                                1         Top                            0                              750                            2070                          False     False     
0.1"_1PIN                               GND3                          0.1"_1PIN                                1         Top                            0                              730                            2490                          False     False     
0.1"_1PIN                               GND4                          0.1"_1PIN                                1         Top                            0                              1200                           1400                          False     False     
0.1"_1PIN                               GND5                          0.1"_1PIN                                1         Top                            0                              1300                           900                           False     False     
0.1"_1PIN                               GND6                          0.1"_1PIN                                1         Top                            0                              430                            2490                          False     False     
GPS_CERAMIC_ANT_25X25X2                 GPS_ANT                       GPS_CERAMIC_ANT_25X25X2                  1         Top                            0                              3425.1968503937                1535.43307086614              False     True      
0.1"_1PIN                               I_AUDIO_IN                    0.1"_1PIN                                1         Top                            270                            1300                           1000                          False     False     
0.1"_1PIN                               I_AUDIO_OUT                   0.1"_1PIN                                1         Top                            0                              1200                           1500                          False     False     
0.1"_1PIN                               KEY1                          0.1"_1PIN                                1         Top                            0                              3830                           1020                          False     False     
0.1"_1PIN                               KEY2                          0.1"_1PIN                                1         Top                            0                              3520                           1020                          False     False     
ISM-0805-10U                            L1                            L0805                                    2         Top                            270                            2120                           1980                          True      False     
ISM-0805-10U                            L2                            L0805                                    2         Top                            0                              2160                           1870                          True      False     
ISM-0805-10U                            L3                            L0805                                    2         Top                            0                              2160                           1800                          True      False     
ISM-0805-10U                            L4                            L0805                                    2         Top                            270                            2450                           1980                          True      False     
ISM-0805-10U                            L5                            L0805                                    2         Top                            180                            2410                           1870                          True      False     
ISM-0805-10U                            L6                            L0805                                    2         Top                            180                            2410                           1800                          True      False     
ISM-0805-10U                            L7                            L0805                                    2         Top                            270                            1730                           1980                          True      False     
ISM-0805-10U                            L8                            L0805                                    2         Top                            180                            1690                           1870                          True      False     
T4-1-KK81                               L9                            T4-1-KK81                                6         Bottom                         180                            354.330708661417               1122.04724409449              True      False     
ISM-0805-10U                            L10                           L0805                                    2         Top                            180                            1690                           1800                          True      False     
ISM-0805-10U                            L11                           L0805                                    2         Top                            270                            1400                           1980                          True      False     
ISM-0805-10U                            L12                           L0805                                    2         Top                            0                              1440                           1870                          True      False     
ISM-0805-10U                            L13                           L0805                                    2         Top                            0                              1440                           1800                          True      False     
2U2H_INDUCTOR_NR6028T2R2N               L14                           2U2H_INDUCTOR_NR6028T2R2N                2         Bottom                         90                             2960                           1390                          True      False     
ISM-0805-10U                            L15                           L0805                                    2         Bottom                         90                             3070                           1170                          True      False     
QVGA_SPI_DISPLAY_MINIMAL                LCD                           QVGA_SPI_DISPLAY_MINIMAL                 13        Top                            90                             1417.32283464567               1279.52755905512              False     True      
JST_2P_2MM                              LIPO                          JST_2P-2MM                               2         Bottom                         180                            3190                           2190                          False     False     
MH125_PLATED                            M1                            MH125_PLATED                             1         Top                            0                              118.110236220472               1771.65354330709              False     False     
MH125_PLATED                            M2                            MH125_PLATED                             1         Top                            0                              118.110236220472               2440.94488188976              False     False     
MH125_PLATED                            M3                            MH125_PLATED                             1         Top                            0                              669.291338582677               275.590551181102              False     False     
MH125_PLATED                            M4                            MH125_PLATED                             1         Top                            0                              3248.03149606299               2440.94488188976              False     False     
MH125_PLATED                            M5                            MH125_PLATED                             1         Top                            0                              2913.38582677165               118.110236220472              False     False     
MH125_PLATED                            M6                            MH125_PLATED                             1         Top                            0                              3700.7874015748                905.511811023622              False     False     
MICROSD_DM3CS-SF                        MICROSD                       MICROSD_DM3CS-SF                         13        Bottom                         270                            2820                           1050                          True      False     
0.1"_1PIN                               MIXER-IN                      0.1"_1PIN                                1         Top                            0                              650                            2070                          False     False     
0.1"_1PIN                               MIXER-OUT                     0.1"_1PIN                                1         Top                            0                              850                            2070                          False     False     
0.1"_1PIN                               MIXER-POWER                   0.1"_1PIN                                1         Top                            0                              950                            2070                          False     False     
0.1"_1PIN                               NRST                          0.1"_1PIN                                1         Top                            90                             2690                           120                           False     False     
MOSFET_P_SOT23_IRLML6401                Q1                            SOT-23                                   3         Bottom                         90                             3780                           1410                          True      False     
MOSFET_P_SOT23_IRLML6401                Q2                            SOT-23                                   3         Bottom                         270                            670                            2370                          True      False     
MOSFET_P_SOT23_IRLML6401                Q3                            SOT-23                                   3         Bottom                         270                            990                            2210                          True      False     
MOSFET_P_SOT23_IRLML6401                Q8                            SOT-23                                   3         Bottom                         0                              2860                           1850                          True      False     
0.1"_1PIN                               Q_AUDIO_IN                    0.1"_1PIN                                1         Bottom                         270                            1300                           800                           False     False     
0.1"_1PIN                               Q_AUDIO_OUT                   0.1"_1PIN                                1         Top                            0                              1200                           1300                          False     False     
RSM-6K81-1PCT-100MW-0603                R1                            R0603                                    2         Bottom                         180                            2140                           2020                          True      False     
